state name,city name,year,month,day of week,time of day,accident severity,number of vehicles involved,vehicle type involved,number of casualties,number of fatalities,weather conditions,road type,road condition,lighting conditions,traffic control presence,speed limit (km/h),driver age,driver gender,driver license status,alcohol involvement,accident location details,latitude,longitude,number_of_death,hour,date,location,severity,vehicle,vehicles_count,casualties,fatalities,weather,road_type,road_condition,lighting,traffic,speed,age,gender,license,alcohol,lat,lng,age_group,is_weekend
Jammu and Kashmir,Unknown,2021,May,Monday,01:46,Serious,5,Cycle,0,4,Hazy,National Highway,Wet,Dark,Signs,61,66,Male,,Yes,Curve,18.11258321,73.36885494,8,1,2021-05-01,Jammu and Kashmir - Unknown,Serious,Cycle,5,0,4,Hazy,National Highway,Wet,Dark,Signs,61,66,Male,,Yes,18.11258321,73.36885494,Senior,False
Uttar Pradesh,Lucknow,2018,January,Wednesday,21:30,Minor,5,Truck,5,4,Hazy,Urban Road,Dry,Dusk,Signs,92,60,Male,,Yes,Straight Road,33.66928627,83.71512747,4,21,2018-01-01,Uttar Pradesh - Lucknow,Minor,Truck,5,5,4,Hazy,Urban Road,Dry,Dusk,Signs,92,60,Male,,Yes,33.66928627,83.71512747,Mid-age,False
Chhattisgarh,Unknown,2023,May,Wednesday,05:37,Minor,5,Pedestrian,6,5,Foggy,National Highway,Under Construction,Dawn,Signs,120,26,Female,,No,Bridge,27.76383643,93.31542924,3,5,2023-05-01,Chhattisgarh - Unknown,Minor,Pedestrian,5,6,5,Foggy,National Highway,Under Construction,Dawn,Signs,120,26,Female,,No,27.76383643,93.31542924,Young,False
Uttar Pradesh,Lucknow,2020,June,Saturday,00:31,Minor,3,Bus,10,5,Rainy,State Highway,Dry,Dark,Signals,76,34,Female,Valid,Yes,Straight Road,24.16377907,89.23452171,7,0,2020-06-01,Uttar Pradesh - Lucknow,Minor,Bus,3,10,5,Rainy,State Highway,Dry,Dark,Signals,76,34,Female,Valid,Yes,24.16377907,89.23452171,Adult,True
Sikkim,Unknown,2021,August,Thursday,11:21,Minor,5,Cycle,7,1,Foggy,Urban Road,Wet,Dusk,Signs,115,30,Male,,No,Intersection,12.21250329,91.39027329,2,11,2021-08-01,Sikkim - Unknown,Minor,Cycle,5,7,1,Foggy,Urban Road,Wet,Dusk,Signs,115,30,Male,,No,12.21250329,91.39027329,Young,False
Meghalaya,Unknown,2020,November,Tuesday,08:04,Serious,1,Truck,6,2,Stormy,Village Road,Dry,Daylight,Police Checkpost,48,44,Male,Expired,Yes,Bridge,12.21185205,87.10471763,3,8,2020-11-01,Meghalaya - Unknown,Serious,Truck,1,6,2,Stormy,Village Road,Dry,Daylight,Police Checkpost,48,44,Male,Expired,Yes,12.21185205,87.10471763,Adult,False
Sikkim,Unknown,2021,October,Monday,18:55,Fatal,2,Two-Wheeler,9,5,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,111,48,Female,,No,Straight Road,9.568257529,88.07602037,1,18,2021-10-01,Sikkim - Unknown,Fatal,Two-Wheeler,2,9,5,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,111,48,Female,,No,9.568257529,88.07602037,Mid-age,False
Himachal Pradesh,Unknown,2022,December,Wednesday,11:40,Minor,3,Truck,1,5,Clear,State Highway,Damaged,Dark,Police Checkpost,62,42,Female,Valid,No,Curve,31.38675594,92.6266739,2,11,2022-12-01,Himachal Pradesh - Unknown,Minor,Truck,3,1,5,Clear,State Highway,Damaged,Dark,Police Checkpost,62,42,Female,Valid,No,31.38675594,92.6266739,Adult,False
Rajasthan,Jodhpur,2021,July,Saturday,08:26,Fatal,3,Truck,7,1,Clear,Urban Road,Damaged,Dawn,Signs,35,53,Male,Valid,No,Straight Road,24.23010532,75.24037226,3,8,2021-07-01,Rajasthan - Jodhpur,Fatal,Truck,3,7,1,Clear,Urban Road,Damaged,Dawn,Signs,35,53,Male,Valid,No,24.23010532,75.24037226,Mid-age,True
Rajasthan,Jodhpur,2018,August,Saturday,02:01,Fatal,2,Car,3,2,Foggy,State Highway,Under Construction,Dark,Signs,110,50,Female,,Yes,Straight Road,27.1179596,82.19332395,1,2,2018-08-01,Rajasthan - Jodhpur,Fatal,Car,2,3,2,Foggy,State Highway,Under Construction,Dark,Signs,110,50,Female,,Yes,27.1179596,82.19332395,Mid-age,True
Himachal Pradesh,Unknown,2020,April,Thursday,22:25,Minor,5,Pedestrian,1,3,Hazy,National Highway,Dry,Dusk,Signals,35,49,Female,,No,Straight Road,8.555781346,74.41507381,9,22,2020-04-01,Himachal Pradesh - Unknown,Minor,Pedestrian,5,1,3,Hazy,National Highway,Dry,Dusk,Signals,35,49,Female,,No,8.555781346,74.41507381,Mid-age,False
Uttar Pradesh,Kanpur,2018,August,Tuesday,16:49,Fatal,3,Bus,1,4,Clear,National Highway,Wet,Dusk,,46,41,Male,Valid,No,Curve,34.18756601,96.64237223,4,16,2018-08-01,Uttar Pradesh - Kanpur,Fatal,Bus,3,1,4,Clear,National Highway,Wet,Dusk,,46,41,Male,Valid,No,34.18756601,96.64237223,Adult,False
Assam,Unknown,2021,September,Saturday,23:22,Serious,1,Cycle,2,3,Hazy,Village Road,Under Construction,Daylight,Signs,46,55,Female,,No,Straight Road,30.4759513,95.37772085,7,23,2021-09-01,Assam - Unknown,Serious,Cycle,1,2,3,Hazy,Village Road,Under Construction,Daylight,Signs,46,55,Female,,No,30.4759513,95.37772085,Mid-age,True
Bihar,Unknown,2020,June,Wednesday,06:47,Serious,5,Car,0,0,Foggy,State Highway,Wet,Dusk,Signals,98,44,Female,Valid,No,Bridge,13.73315599,69.14337753,3,6,2020-06-01,Bihar - Unknown,Serious,Car,5,0,0,Foggy,State Highway,Wet,Dusk,Signals,98,44,Female,Valid,No,13.73315599,69.14337753,Adult,False
