State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Latitude,Longitude,Number_of_death
Jammu and Kashmir,Unknown,2021,May,Monday,01:46,Serious,5,Cycle,0,4,Hazy,National Highway,Wet,Dark,Signs,61,66,Male,None,Yes,Curve,18.11258321,73.36885494,8
Uttar Pradesh,Lucknow,2018,January,Wednesday,21:30,Minor,5,Truck,5,4,Hazy,Urban Road,Dry,Dusk,Signs,92,60,Male,None,Yes,Straight Road,33.66928627,83.71512747,4
Chhattisgarh,Unknown,2023,May,Wednesday,05:37,Minor,5,Pedestrian,6,5,Foggy,National Highway,Under Construction,Dawn,Signs,120,26,Female,None,No,Bridge,27.76383643,93.31542924,3
Uttar Pradesh,Lucknow,2020,June,Saturday,00:31,Minor,3,Bus,10,5,Rainy,State Highway,Dry,Dark,Signals,76,34,Female,Valid,Yes,Straight Road,24.16377907,89.23452171,7
Sikkim,Unknown,2021,August,Thursday,11:21,Minor,5,Cycle,7,1,Foggy,Urban Road,Wet,Dusk,Signs,115,30,Male,None,No,Intersection,12.21250329,91.39027329,2
Meghalaya,Unknown,2020,November,Tuesday,08:04,Serious,1,Truck,6,2,Stormy,Village Road,Dry,Daylight,Police Checkpost,48,44,Male,Expired,Yes,Bridge,12.21185205,87.10471763,3
Sikkim,Unknown,2021,October,Monday,18:55,Fatal,2,Two-Wheeler,9,5,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,111,48,Female,None,No,Straight Road,9.568257529,88.07602037,1
Himachal Pradesh,Unknown,2022,December,Wednesday,11:40,Minor,3,Truck,1,5,Clear,State Highway,Damaged,Dark,Police Checkpost,62,42,Female,Valid,No,Curve,31.38675594,92.6266739,2
Rajasthan,Jodhpur,2021,July,Saturday,08:26,Fatal,3,Truck,7,1,Clear,Urban Road,Damaged,Dawn,Signs,35,53,Male,Valid,No,Straight Road,24.23010532,75.24037226,3
Rajasthan,Jodhpur,2018,August,Saturday,02:01,Fatal,2,Car,3,2,Foggy,State Highway,Under Construction,Dark,Signs,110,50,Female,None,Yes,Straight Road,27.1179596,82.19332395,1
Himachal Pradesh,Unknown,2020,April,Thursday,22:25,Minor,5,Pedestrian,1,3,Hazy,National Highway,Dry,Dusk,Signals,35,49,Female,None,No,Straight Road,8.555781346,74.41507381,9
Uttar Pradesh,Kanpur,2018,August,Tuesday,16:49,Fatal,3,Bus,1,4,Clear,National Highway,Wet,Dusk,None,46,41,Male,Valid,No,Curve,34.18756601,96.64237223,4
Assam,Unknown,2021,September,Saturday,23:22,Serious,1,Cycle,2,3,Hazy,Village Road,Under Construction,Daylight,Signs,46,55,Female,None,No,Straight Road,30.4759513,95.37772085,7
Bihar,Unknown,2020,June,Wednesday,06:47,Serious,5,Car,0,0,Foggy,State Highway,Wet,Dusk,Signals,98,44,Female,Valid,No,Bridge,13.73315599,69.14337753,3
Telangana,Unknown,2021,August,Friday,18:57,Serious,3,Bus,6,3,Foggy,National Highway,Wet,Dawn,Police Checkpost,47,54,Male,Valid,No,Intersection,12.90927411,88.46168,9
